Player,School,Year,Pick,Pos,G,MP,FGA,FG%,2P%,3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,NBA-PPG
Walt Williams,Maryland,1992,7,SF,105,30.4,11.9,0.466,0.522,0.359,0.762,16.2,7.86,0.572,0.528,0.343,0.403,,17
Todd Day,Arkansas,1992,8,SG,127,28.2,13.7,0.479,0.527,0.384,0.747,18.9,5.89,0.581,0.544,0.337,0.383,,13.8
Clarence Weatherspoon,Southern Miss,1992,9,SF,117,35.5,11.8,0.576,0.583,0.444,0.677,18.2,4.43,0.613,0.587,0.052,0.535,,15.6
Adam Keefe,Stanford,1992,10,PF,125,32,11.1,0.6,0.601,0.467,0.736,18.6,8.24,0.642,0.602,0.011,0.64,,6.6
Robert Horry,Alabama,1992,11,SF,134,28,9.3,0.458,0.492,0.371,0.742,11.9,6.32,0.548,0.51,0.279,0.344,,10.1
Harold Miner,USC,1992,12,SG,87,35.3,17.5,0.453,0.492,0.367,0.814,23.5,6.19,0.565,0.51,0.314,0.394,,10.3
Bryant Stith,Virginia,1992,13,SG,131,33.5,13.5,0.483,0.511,0.353,0.789,19.2,9.93,0.575,0.515,0.182,0.493,,8.9
Malik Sealy,St. John's (NY),1992,14,SF,127,38.1,14.4,0.494,0.518,0.247,0.712,18.9,8.55,0.547,0.505,0.091,0.431,,5.7
Anthony Peeler,Missouri,1992,15,SG,117,30.6,12.2,0.466,0.485,0.393,0.779,16.8,9.96,0.564,0.507,0.207,0.469,,10.4
Randy Woods,La Salle,1992,16,PG,88,36.3,16.4,0.413,0.488,0.352,0.794,20.6,-0.07,0.551,0.51,0.548,0.3,,1.7
Doug Christie,Pepperdine,1992,17,SG,87,30.6,11.7,0.473,0.525,0.297,0.747,16,0.31,0.558,0.507,0.227,0.468,,6.2
Tracy Murray,UCLA,1992,18,SF,98,30.1,12.9,0.5,0.553,0.411,0.791,18.3,9.22,0.612,0.577,0.378,0.328,,5.7
Don MacLean,UCLA,1992,19,PF,127,32.7,14,0.531,0.535,0.314,0.86,20.5,9.3,0.601,0.534,0.02,0.466,,6.6
Hubert Davis,UNC,1992,20,SG,137,21.3,8.2,0.498,0.541,0.435,0.819,11.8,11.1,0.624,0.586,0.405,0.332,,5.4
Jon Barry,Georgia Tech,1992,21,SG,94,33.3,12.1,0.421,0.465,0.371,0.717,14.4,9.05,0.533,0.508,0.467,0.238,,4.4
Oliver Miller,Arkansas,1992,22,C,137,23.7,7.8,0.636,0.65,0.167,0.646,12.2,5.89,0.646,0.638,0.028,0.447,,5.6
Lee Mayberry,Arkansas,1992,23,PG,139,32.5,10.5,0.495,0.534,0.424,0.724,14,5.89,0.591,0.57,0.352,0.261,,5.2
Latrell Sprewell,Alabama,1992,24,SG,68,31.3,10.1,0.499,0.536,0.399,0.74,13.5,7.99,0.582,0.552,0.266,0.313,,15.4
Elmore Spencer,UNLV,1992,25,C,70,24.2,7.5,0.603,0.607,0,0.516,10.6,4.56,0.594,0.603,0.006,0.416,,2.4
Dave Johnson,Syracuse,1992,26,SG,132,26,9.6,0.447,0.488,0.337,0.653,12.2,8.4,0.526,0.493,0.27,0.433,,3.7
Byron Houston,Oklahoma State,1992,27,PF,127,32.4,11.8,0.552,0.569,0.281,0.729,18.7,8.34,0.608,0.56,0.059,0.638,,5.3
Chris Webber,Michigan,1993,1,C,70,31.9,12.4,0.589,0.641,0.306,0.53,17.4,12.07,0.605,0.613,0.155,0.342,,17.5
Shawn Bradley,BYU,1993,2,C,34,28.9,10.6,0.518,0.517,1,0.692,14.8,5.36,0.56,0.519,0.003,0.512,,10.3
Anfernee Hardaway,Memphis,1993,3,PG,66,36.7,15.2,0.456,0.531,0.346,0.717,20,9.15,0.56,0.526,0.408,0.362,,16
Jamal Mashburn,Kentucky,1993,4,SF,98,30.2,13.3,0.516,0.577,0.376,0.697,18.8,9.62,0.598,0.573,0.301,0.379,,19.2
Isaiah Rider,UNLV,1993,5,SG,55,34.8,17.6,0.504,0.56,0.401,0.805,24.9,3.39,0.612,0.574,0.35,0.334,,16.6
Calbert Cheaney,Indiana,1993,6,SG,132,31.3,13.8,0.559,0.587,0.438,0.79,19.8,10.64,0.629,0.6,0.186,0.298,,12
Bobby Hurley,Duke,1993,7,PG,140,34.3,8.9,0.41,0.415,0.405,0.776,12.4,10.09,0.569,0.515,0.521,0.454,,7.1
Vin Baker,Hartford,1993,8,C,112,29.4,16.2,0.475,0.502,0.3,0.637,20,-6.08,0.522,0.495,0.134,0.386,,13.5
