Player,School,Year,Pick,Pos,G,MP,FGA,FG%,2P%,3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,NBA-PPG
Chris Paul,Wake Forest,2005,4,PG,63,33.5,9.3,0.472,0.473,0.47,0.838,15,10.65,0.622,0.545,0.311,0.62,6.3,16.1
Raymond Felton,UNC,2005,5,PG,101,33.9,9.7,0.423,0.467,0.375,0.731,12.5,11,0.55,0.512,0.474,0.361,5.6,11.9
Charlie Villanueva,UConn,2005,6,PF,63,22.3,8.3,0.518,0.534,0.393,0.681,11.2,7.7,0.568,0.541,0.116,0.389,3.5,13
Channing Frye,Arizona,2005,7,C,133,27.7,9.5,0.562,0.568,0.261,0.759,13.5,9.02,0.601,0.565,0.018,0.387,10.3,12.3
Ike Diogu,Arizona State,2005,8,PF,91,35.1,11.9,0.571,0.591,0.387,0.786,21.4,6.66,0.655,0.59,0.098,0.791,15,7
Sean May,UNC,2005,9,PF,77,27.8,11.2,0.513,0.519,0,0.717,15.8,11,0.562,0.513,0.013,0.532,5.2,8.2
Rashad McCants,UNC,2005,10,SG,98,29.2,12.9,0.486,0.538,0.415,0.721,17.6,11,0.597,0.574,0.422,0.298,9.9,7.9
Antoine Wright,Texas A&M,2005,11,SG,87,32.1,13,0.412,0.439,0.376,0.648,15.4,5.15,0.516,0.492,0.425,0.303,3.8,1.8
Joey Graham,Oklahoma State,2005,12,SF,128,26.1,8.8,0.527,0.557,0.378,0.809,13,1.32,0.609,0.559,0.166,0.439,11,6.7
Danny Granger,New Mexico,2005,13,SF,95,28.4,11.2,0.496,0.529,0.366,0.753,16.7,1.8,0.587,0.533,0.2,0.561,9.6,7.5
Hakim Warrick,Syracuse,2005,14,PF,135,31,10.6,0.536,0.544,0.25,0.659,15.4,7.34,0.572,0.539,0.028,0.561,10.8,4.1
Julius Hodge,NC State,2005,15,SG,129,33,10.9,0.473,0.52,0.329,0.76,15.8,8.87,0.573,0.513,0.247,0.557,11.3,0.9
Nate Robinson,Washington,2005,16,PG,89,28.2,11,0.457,0.523,0.348,0.793,14.4,7.12,0.566,0.523,0.374,0.342,5.9,9.3
Jarrett Jack,Georgia Tech,2005,17,SG,101,32.3,8.4,0.478,0.53,0.359,0.796,12.5,9.64,0.594,0.532,0.305,0.532,8.1,6.7
Francisco Garcia,Louisville,2005,18,SF,98,28.1,10.5,0.448,0.519,0.369,0.849,14.4,6.66,0.587,0.535,0.473,0.353,8.4,5.6
Luther Head,Illinois,2005,19,SG,128,25.4,7.5,0.473,0.594,0.382,0.752,10.1,8.06,0.605,0.582,0.572,0.253,8.8,8.8
Jason Maxiell,Cincinnati,2005,20,PF,129,27.6,8.6,0.507,0.509,0.286,0.653,12.1,6.76,0.548,0.508,0.006,0.608,6.7,2.3
Linas Kleiza,Missouri,2005,21,PF,49,28.7,11.3,0.413,0.453,0.287,0.707,14.4,9.14,0.508,0.448,0.245,0.535,1.8,3.5
Wayne Simien,Kansas,2005,22,PF,106,26.6,9.9,0.558,0.566,0.24,0.784,15,10.04,0.612,0.561,0.024,0.508,10.4,3.4
David Lee,Florida,2005,23,SF,127,25,7.4,0.581,0.584,0,0.681,11.3,8.11,0.609,0.581,0.006,0.55,9.6,5.1
LaMarcus Aldridge,Texas,2005,24,C,53,30.2,8.9,0.586,0.586,0,0.649,13.5,7.28,0.605,0.586,0,0.527,4.7,9
Adam Morrison,Gonzaga,2005,25,PF,95,30.6,14,0.503,0.551,0.368,0.761,19.7,4.24,0.591,0.552,0.262,0.397,10.5,11.8
Tyrus Thomas,LSU,2005,26,PF,32,25.9,7.8,0.608,0.606,1,0.657,12.3,8.77,0.627,0.61,0.004,0.548,2.9,5.2
Shelden Williams,Duke,2005,27,PF,139,28.1,8.6,0.572,0.574,0.333,0.694,13.9,9.51,0.611,0.573,0.01,0.659,12.4,5.5
Brandon Roy,Washington,2005,28,SG,103,27.5,10.1,0.512,0.541,0.344,0.765,14.3,6.83,0.585,0.537,0.148,0.45,7.8,16.8
Randy Foye,Villanova,2005,29,PG,131,31.3,13.1,0.399,0.441,0.329,0.781,15,8.37,0.505,0.461,0.378,0.291,4.7,10.1
Rudy Gay,UConn,2005,30,SF,64,29.8,10.8,0.461,0.483,0.378,0.721,13.6,7.1,0.538,0.501,0.214,0.353,3.2,10.8
Patrick O'Bryant,Bradley,2005,31,C,52,24.3,8.4,0.554,0.554,0,0.687,11.6,4.97,0.582,0.554,0,0.411,3.4,1.9
J.J. Redick,Duke,2005,32,PG,139,34,13.7,0.433,0.472,0.406,0.912,19.9,9.51,0.615,0.553,0.591,0.381,18.4,6
Hilton Armstrong,UConn,2005,33,C,131,15.1,3.1,0.563,0.565,0.333,0.578,4.7,7.4,0.575,0.565,0.007,0.682,3.1,3.1
Ronnie Brewer,Arkansas,2005,34,SG,90,33,11.9,0.462,0.511,0.34,0.671,15.7,5.35,0.546,0.511,0.287,0.455,6.2,4.6
Cedric Simmons,NC State,2005,35,PF,63,18.9,4.8,0.565,0.566,0.5,0.652,7.7,7.4,0.599,0.568,0.013,0.734,3,2.9
Rodney Carney,Memphis,2005,36,SF,133,27.6,11.9,0.415,0.468,0.362,0.717,14.3,5.22,0.533,0.506,0.499,0.26,6.8,6.6
Shawne Williams,Memphis,2005,37,SG,36,27.8,10.4,0.416,0.489,0.312,0.786,13.2,4.24,0.534,0.48,0.411,0.387,1.7,3.9
Quincy Douby,Rutgers,2005,38,PG,95,32.1,14.1,0.432,0.473,0.389,0.82,17.8,6.93,0.562,0.526,0.481,0.251,8.7,2.8
Renaldo Balkman,South Carolina,2005,39,SF,104,21.1,5.5,0.553,0.581,0.291,0.533,7.4,7.11,0.566,0.567,0.096,0.396,4.3,4.9
Rajon Rondo,Kentucky,2005,40,PG,68,28.1,7.4,0.493,0.544,0.283,0.577,9.6,8.49,0.536,0.521,0.196,0.44,2.7,6.4
Marcus Williams,UConn,2005,41,PG,70,27.9,7.2,0.402,0.413,0.375,0.791,9,7.32,0.518,0.455,0.285,0.418,2.2,6.8
Josh Boone,UConn,2005,42,PF,103,25.9,6.4,0.578,0.578,0,0.559,9.3,7.32,0.58,0.578,0,0.528,5.1,4.2
Kyle Lowry,Villanova,2005,43,PG,57,26.7,7.1,0.449,0.463,0.325,0.737,9.5,8.83,0.531,0.465,0.099,0.566,2.1,5.6
Shannon Brown,Michigan State,2005,44,SG,97,28,9.4,0.457,0.503,0.364,0.831,12.2,7.69,0.565,0.518,0.332,0.319,5.9,3.2
Jordan Farmar,UCLA,2005,45,PG,66,32.2,10.8,0.41,0.463,0.333,0.76,13.3,7.68,0.526,0.478,0.409,0.369,3.3,4.4
Maurice Ager,Michigan State,2005,46,SG,124,25.6,9.6,0.441,0.492,0.38,0.775,12.5,8.19,0.566,0.527,0.449,0.333,7.8,2.2
Mardy Collins,Temple,2005,47,SF,125,37.5,14.4,0.399,0.457,0.292,0.624,15.4,5.33,0.473,0.45,0.347,0.268,1.4,4.5
Greg Oden,Ohio State,2007,1,C,32,28.9,9.6,0.616,0.616,0,0.628,15.7,9.03,0.626,0.616,0,0.638,3.6,8.9
Kevin Durant,Texas,2007,2,SG,35,35.9,18.5,0.473,0.505,0.404,0.816,25.8,6.12,0.587,0.536,0.314,0.396,4.7,20.3
Al Horford,Florida,2007,3,C,109,25.7,6.6,0.586,0.589,0,0.619,10.3,6.65,0.601,0.586,0.006,0.613,7,10.1
Mike Conley,Ohio State,2007,4,PG,39,31.6,7.9,0.518,0.579,0.304,0.694,11.3,9.03,0.584,0.552,0.223,0.466,2.7,9.4
Jeff Green,Georgetown,2007,5,SF,102,33.2,9.7,0.488,0.531,0.359,0.7,13.1,7.65,0.565,0.533,0.249,0.402,7.5,10.5
Corey Brewer,Florida,2007,6,SF,108,27.2,8.2,0.48,0.536,0.356,0.708,11.3,6.65,0.571,0.535,0.312,0.431,6.4,5.8
Brandan Wright,UNC,2007,7,PF,37,27.4,9.5,0.646,0.646,0,0.567,14.7,9.3,0.637,0.646,0,0.445,3.7,4
Joakim Noah,Florida,2007,8,C,108,21.1,6.2,0.616,0.617,0.5,0.684,10.5,6.65,0.642,0.617,0.003,0.679,8.7,6.6
Spencer Hawes,Washington,2007,9,C,31,28.9,11.7,0.532,0.533,0.333,0.755,14.9,6.5,0.563,0.533,0.008,0.27,2,4.7
Acie Law,Texas A&M,2007,10,PG,122,30.8,10.6,0.466,0.502,0.357,0.76,13.7,4.53,0.551,0.51,0.246,0.35,7.9,4.2
Thaddeus Young,Georgia Tech,2007,11,PF,31,29.6,11.9,0.478,0.498,0.419,0.743,14.4,9.36,0.552,0.531,0.251,0.189,1.8,8.2
Julian Wright,Kansas,2007,12,SF,71,24.1,8,0.555,0.565,0.188,0.591,10.4,7.23,0.566,0.557,0.028,0.32,3.7,3.9
Al Thornton,Florida State,2007,13,PF,124,22,8.3,0.528,0.543,0.438,0.701,12.3,7.69,0.593,0.559,0.139,0.505,8.9,12.7
Rodney Stuckey,Eastern Washington,2007,14,PG,59,33.1,17.1,0.472,0.54,0.317,0.806,24.4,-1.48,0.581,0.52,0.306,0.474,7.2,7.6
Nick Young,USC,2007,15,SG,96,31.1,11.9,0.484,0.518,0.368,0.764,15.5,6.92,0.563,0.525,0.226,0.326,7.3,7.5
Sean Williams,Boston College,2007,16,C,69,20.5,3.5,0.577,0.577,0,0.605,5.5,7.24,0.592,0.577,0,0.699,2.2,5.6
Javaris Crittenton,Georgia Tech,2007,17,SG,32,31.3,11,0.45,0.488,0.356,0.783,14.4,9.36,0.552,0.501,0.288,0.393,2,5.6
Jason Smith,Colorado State,2007,18,PF,87,27.9,9.6,0.548,0.556,0.308,0.751,14.7,3.95,0.604,0.553,0.031,0.578,8.1,4.5
Daequan Cook,Ohio State,2007,19,SG,39,19.7,8.1,0.445,0.465,0.415,0.697,9.8,9.03,0.548,0.53,0.41,0.208,1.6,8.8
Jared Dudley,Boston College,2007,20,PF,130,36.4,10.5,0.504,0.548,0.365,0.731,15.9,7.22,0.595,0.548,0.24,0.573,12.9,5.8
Wilson Chandler,DePaul,2007,21,SF,59,31.1,11.4,0.445,0.487,0.303,0.659,12.9,8.64,0.504,0.48,0.231,0.262,1.6,7.3
Morris Almond,Rice,2007,22,SG,121,27.1,10.5,0.492,0.514,0.435,0.824,15.1,2.25,0.602,0.552,0.276,0.398,11.6,1.4
Aaron Brooks,Oregon,2007,23,PG,115,32.7,10.1,0.43,0.479,0.374,0.834,13.1,6.68,0.565,0.518,0.471,0.315,7.7,5.2
Arron Afflalo,UCLA,2007,24,SG,104,32.7,10.9,0.457,0.539,0.373,0.781,14.8,8.4,0.586,0.549,0.493,0.33,9.7,3.7
Alando Tucker,Wisconsin,2007,25,SF,134,32.1,12.4,0.48,0.522,0.307,0.636,16.5,7.56,0.54,0.51,0.198,0.491,9.3,3.7
Derrick Rose,Memphis,2008,1,PG,40,29.2,10.9,0.477,0.521,0.337,0.712,14.9,5.76,0.56,0.517,0.239,0.47,2.8,16.8
Michael Beasley,Kansas State,2008,2,PF,33,31.5,17.5,0.532,0.562,0.379,0.774,26.2,7.79,0.61,0.563,0.165,0.484,5.4,13.9
O.J. Mayo,USC,2008,3,SG,33,36.8,16.2,0.442,0.464,0.409,0.803,20.7,8.59,0.562,0.524,0.401,0.284,3.4,18.5
Russell Westbrook,UCLA,2008,4,PG,75,21.9,6.6,0.464,0.491,0.354,0.685,8.3,8.77,0.532,0.499,0.2,0.365,2.3,15.3
Kevin Love,UCLA,2008,5,C,39,29.6,10.4,0.559,0.611,0.354,0.767,17.5,7.71,0.644,0.595,0.202,0.635,5.6,11.1
Eric Gordon,Indiana,2008,6,SG,32,34.7,13.3,0.433,0.525,0.337,0.834,20.9,6.08,0.601,0.515,0.489,0.652,4.2,16.1
Joe Alexander,West Virginia,2008,7,SF,82,25.3,10,0.447,0.488,0.295,0.765,12.1,7.04,0.522,0.478,0.211,0.326,2.9,4.7
D.J. Augustin,Texas,2008,8,PG,73,36.5,12.2,0.443,0.463,0.402,0.808,16.9,7.35,0.569,0.51,0.331,0.447,6.2,11.8
Brook Lopez,Stanford,2008,9,C,53,28,12.7,0.48,0.491,0.143,0.764,16,8,0.532,0.482,0.031,0.384,2.9,13
Jerryd Bayless,Arizona,2008,10,PG,30,35.7,12.6,0.458,0.489,0.407,0.839,19.7,10.22,0.612,0.536,0.384,0.59,4,4.3
Jason Thompson,Rider,2008,11,PF,122,32.1,11.8,0.526,0.544,0.291,0.667,16.7,-3.38,0.569,0.536,0.071,0.511,9.8,11.1
Brandon Rush,Kansas,2008,12,SG,109,31.3,10.9,0.449,0.458,0.435,0.733,13.6,7.56,0.558,0.535,0.395,0.229,6.8,8.1
Anthony Randolph,LSU,2008,13,PF,31,32.8,12.7,0.464,0.483,0.105,0.693,15.6,5.66,0.511,0.467,0.048,0.421,1.1,7.9
Robin Lopez,Stanford,2008,14,C,67,24.3,6.9,0.511,0.511,0.5,0.612,9,8,0.535,0.512,0.004,0.452,2.2,3.2
Marreese Speights,Florida,2008,15,C,69,15.4,6.2,0.633,0.633,0,0.688,9.5,6.16,0.647,0.633,0,0.371,4.9,7.7
Roy Hibbert,Georgetown,2008,16,C,136,23.3,7,0.603,0.602,1,0.68,10.9,7.54,0.626,0.605,0.003,0.506,11.7,7.1
Javale McGee,Nevada,2008,17,C,66,18.7,6.5,0.542,0.563,0.356,0.514,8.7,0.49,0.557,0.56,0.104,0.405,2.4,6.5
J.J. Hickson,NC State,2008,18,C,31,28.7,8.9,0.591,0.593,0,0.677,14.8,9.06,0.621,0.591,0.004,0.707,3.2,4
Ryan Anderson,California,2008,19,PF,66,33,13.1,0.484,0.532,0.396,0.841,18.7,8.56,0.605,0.554,0.356,0.379,7.5,7.4
Courtney Lee,Western Kentucky,2008,20,SG,127,31.2,13.6,0.464,0.498,0.401,0.817,17.6,-1.08,0.572,0.535,0.353,0.275,11.1,8.4
Kosta Koufos,Ohio State,2008,21,C,37,27.1,11.8,0.508,0.535,0.349,0.68,14.4,7.97,0.551,0.533,0.144,0.229,2.3,4.7
George Hill,IUPUI,2008,22,PG,95,33.3,10.7,0.529,0.565,0.404,0.785,17,-3.26,0.628,0.574,0.22,0.575,12,5.7
Darrell Arthur,Kansas,2008,23,PF,78,21.9,8.7,0.541,0.552,0.118,0.676,11.3,7.53,0.564,0.543,0.025,0.312,4.1,5.6
Donte Greene,Syracuse,2008,24,SF,35,35.8,14.9,0.418,0.492,0.345,0.707,17.7,7.96,0.531,0.505,0.501,0.255,1.9,3.8
D.J. White,Indiana,2008,25,PF,99,30.6,9.8,0.562,0.563,0.333,0.69,14.6,7.95,0.595,0.563,0.003,0.52,9.1,8.9
J.R. Giddens,New Mexico,2008,26,SF,122,29,10.9,0.464,0.551,0.35,0.602,13.3,6.22,0.549,0.54,0.435,0.232,6.8,0.7
Blake Griffin,Oklahoma,2009,1,PF,68,30.9,11.5,0.618,0.622,0.3,0.589,18.8,7.37,0.62,0.62,0.013,0.665,8.9,22.5
Hasheem Thabeet,UConn,2009,2,C,100,29.3,5.9,0.611,0.611,0,0.625,10.3,7.14,0.624,0.611,0,0.844,7.2,3.1
James Harden,Arizona State,2009,3,SG,69,35,11.9,0.506,0.57,0.376,0.755,19,7.05,0.618,0.568,0.329,0.6,10,9.9
Tyreke Evans,Memphis,2009,4,SG,37,29,13.6,0.455,0.514,0.274,0.711,17.1,4.63,0.529,0.489,0.246,0.384,2.4,20.1
Jonny Flynn,Syracuse,2009,5,PG,73,36.5,12.2,0.46,0.525,0.333,0.782,16.6,8.72,0.567,0.516,0.34,0.416,5.9,13.5
Stephen Curry,Davidson,2009,6,PG,104,32.6,17.9,0.467,0.53,0.412,0.876,25.3,-1.31,0.62,0.578,0.538,0.293,18,17.5
Jordan Hill,Arizona,2009,7,PF,97,27,8.8,0.578,0.578,0,0.636,12.5,9.93,0.593,0.578,0,0.405,7.1,5.2
DeMar DeRozan,USC,2009,8,SG,35,33.4,10.5,0.523,0.562,0.167,0.646,13.9,9.15,0.555,0.531,0.098,0.401,2.4,8.6
Terrence Williams,Louisville,2009,9,SF,140,32.2,10.3,0.4,0.457,0.32,0.589,11.2,7.65,0.484,0.467,0.422,0.254,1.9,8.4
Gerald Henderson,Duke,2009,10,SG,103,25.3,9.7,0.458,0.493,0.329,0.706,12.3,9.61,0.533,0.493,0.211,0.4,4.3,2.6
Tyler Hansbrough,UNC,2009,11,PF,142,30.9,12.3,0.536,0.541,0.316,0.791,20.2,8.39,0.613,0.539,0.022,0.708,17.2,8.5
Earl Clark,Louisville,2009,12,PF,104,26.7,8.6,0.467,0.512,0.298,0.64,10.6,8.03,0.524,0.498,0.21,0.366,3.6,2.7
Austin Daye,Gonzaga,2009,13,SF,67,22.5,8.6,0.477,0.495,0.422,0.79,11.6,2.85,0.575,0.53,0.255,0.364,4.1,5.1
James Johnson,Wake Forest,2009,14,PF,61,29.9,11.2,0.515,0.587,0.296,0.693,14.8,8.09,0.575,0.551,0.248,0.32,4.6,3.9
Jrue Holiday,UCLA,2009,15,PG,35,27.1,7.1,0.45,0.528,0.307,0.726,8.5,7.18,0.532,0.504,0.353,0.249,1.2,8
Ty Lawson,UNC,2009,16,PG,105,27,8.5,0.517,0.568,0.403,0.78,13.1,8.59,0.624,0.579,0.31,0.482,9,8.3
Jeff Teague,Wake Forest,2009,17,PG,61,30.9,11.2,0.462,0.477,0.421,0.812,16.4,8.09,0.586,0.518,0.268,0.529,5.6,3.2
Eric Maynor,VCU,2009,18,PG,130,30.7,11.2,0.449,0.477,0.37,0.791,15,-0.76,0.555,0.498,0.264,0.437,9.8,4.7
Darren Collison,UCLA,2009,19,PG,142,29.2,8.3,0.475,0.494,0.435,0.851,11.5,8.25,0.594,0.544,0.318,0.346,11,12.4
Byron Mullens,Ohio State,2009,20,PF,33,20.3,5.7,0.638,0.642,0,0.559,8.8,8.23,0.629,0.638,0.005,0.495,2.3,1.1
Taj Gibson,USC,2009,21,PF,105,32.7,8.2,0.58,0.58,0,0.629,12.4,8.54,0.597,0.58,0,0.557,8.4,9
DeMarre Carroll,Missouri,2009,22,SF,134,24.5,8.4,0.535,0.559,0.281,0.603,11.2,7.11,0.562,0.547,0.086,0.416,7,2.9
Wayne Ellington,UNC,2009,23,SG,115,28.5,11.6,0.463,0.513,0.397,0.809,14.7,8.59,0.577,0.549,0.434,0.216,8,6.6
Toney Douglas,Florida State,2009,24,PG,130,34.2,12.9,0.442,0.483,0.376,0.802,16.8,7.61,0.56,0.513,0.382,0.344,10.6,8.6
John Wall,Kentucky,2010,1,PG,37,34.8,11.8,0.461,0.509,0.325,0.754,16.6,6.82,0.562,0.503,0.26,0.53,3.7,16.4
Evan Turner,Ohio State,2010,2,SG,101,32.8,10.6,0.502,0.525,0.362,0.758,15,7.86,0.577,0.527,0.139,0.473,9.3,7.2
Derrick Favors,Georgia Tech,2010,3,PF,36,27.5,8.1,0.611,0.613,0,0.629,12.4,9.02,0.621,0.611,0.003,0.488,2.3,6.8
Wesley Johnson,Syracuse,2010,4,SG,93,31.6,10.9,0.454,0.516,0.349,0.768,13.9,6.79,0.555,0.518,0.367,0.306,5.9,9
DeMarcus Cousins,Kentucky,2010,5,C,38,23.5,9.7,0.558,0.565,0.167,0.604,15.1,6.82,0.579,0.56,0.016,0.726,3.8,14.1
Ekpe Udoh,Baylor,2010,6,C,103,27.2,7,0.472,0.485,0.289,0.649,8.4,7.6,0.511,0.481,0.062,0.357,3.7,4.1
Greg Monroe,Georgetown,2010,7,C,65,32.6,9.8,0.543,0.558,0.273,0.677,14.5,9.26,0.585,0.55,0.052,0.565,6,9.4
Al-Farouq Aminu,Wake Forest,2010,8,SF,62,30.1,10.6,0.476,0.522,0.238,0.687,14.4,8.1,0.541,0.495,0.16,0.534,3.9,5.6
Gordon Hayward,Butler,2010,9,SF,69,33.1,9.2,0.47,0.569,0.369,0.824,14.4,3.57,0.624,0.562,0.495,0.536,7.9,5.4
Paul George,Fresno State,2010,10,SG,63,33.9,11.4,0.447,0.485,0.396,0.803,15.5,1.13,0.579,0.532,0.43,0.369,5.3,7.8
Cole Aldrich,Kansas,2010,11,C,111,21,6.1,0.574,0.574,0,0.729,9.4,8.12,0.612,0.574,0,0.515,7.4,1
Xavier Henry,Kansas,2010,12,SG,36,27.5,9.8,0.458,0.492,0.418,0.783,13.4,8.25,0.591,0.555,0.466,0.325,2.8,4.3
Ed Davis,UNC,2010,13,PF,61,22.2,6.3,0.548,0.548,0,0.623,9.2,9.09,0.572,0.548,0,0.595,2.6,7.7
Patrick Patterson,Kentucky,2010,14,PF,97,34,10.9,0.585,0.604,0.329,0.734,16.1,6.24,0.625,0.597,0.069,0.396,12,6.3
Larry Sanders,VCU,2010,15,C,101,23.5,7.9,0.52,0.526,0.25,0.577,10.3,-0.69,0.538,0.523,0.02,0.456,4.7,4.3
Luke Babbitt,Nevada,2010,16,SF,68,34.9,13.6,0.48,0.494,0.421,0.893,19.4,1.98,0.591,0.52,0.192,0.424,8.4,1.5
Eric Bledsoe,Kentucky,2010,17,PG,37,30.3,8.4,0.462,0.516,0.383,0.667,11.3,6.82,0.566,0.54,0.41,0.394,1.5,6.7
Avery Bradley,Texas,2010,18,PG,34,29.5,10.8,0.432,0.457,0.375,0.545,11.6,7.38,0.496,0.489,0.304,0.179,1.6,1.7
James Anderson,Oklahoma State,2010,19,SF,101,32.8,12.6,0.46,0.536,0.375,0.797,17.9,7.36,0.596,0.549,0.473,0.416,11.6,3.6
Craig Brackins,Iowa State,2010,20,PF,96,31.8,13.4,0.445,0.48,0.292,0.726,16,7.34,0.514,0.472,0.184,0.349,5.5,2.7
Elliot Williams,Memphis,2010,21,SG,68,24.9,7.6,0.454,0.524,0.345,0.719,11.1,6.36,0.573,0.521,0.388,0.586,4.3,3.7
Trevor Booker,Clemson,2010,22,PF,134,28.4,9.2,0.559,0.574,0.324,0.624,12.9,7.85,0.584,0.569,0.058,0.428,10.5,5.3
Damion James,Texas,2010,23,SF,142,29.3,10.4,0.479,0.506,0.364,0.64,13.5,7.54,0.541,0.514,0.192,0.428,7.8,4.4
Dominique Jones,South Florida,2010,24,SG,95,36.5,14.1,0.442,0.512,0.323,0.737,18.9,7.32,0.551,0.502,0.37,0.459,9.1,2.3
Quincy Pondexter,Washington,2010,25,SF,136,27.3,9.5,0.503,0.528,0.327,0.768,13.1,7.55,0.572,0.524,0.127,0.429,9.7,2.8
Jordan Crawford,Xavier,2010,26,SG,65,29.3,12.4,0.455,0.494,0.384,0.765,15.5,6.01,0.555,0.523,0.352,0.269,5.1,11.7
Greivis Vasquez,Maryland,2010,27,SG,136,33.6,13,0.425,0.487,0.329,0.828,16,7.95,0.537,0.49,0.395,0.3,9.5,3.6
Daniel Orton,Kentucky,2010,28,PF,38,13.2,2.4,0.527,0.539,0,0.524,3.4,6.82,0.533,0.527,0.022,0.692,0.3,2.8
Lazar Hayward,Marquette,2010,29,SF,138,26.4,10.7,0.452,0.497,0.357,0.789,13.5,7.79,0.55,0.509,0.32,0.306,8.7,3.8
Kyrie Irving,Duke,2011,1,PG,11,27.5,9.5,0.529,0.569,0.462,0.901,17.5,8.31,0.697,0.615,0.375,0.683,1.8,18.5
Derrick Williams,Arizona,2011,2,PF,69,29.2,9.6,0.586,0.598,0.511,0.719,17.8,8.04,0.66,0.621,0.136,0.85,9.2,8.8
Tristan Thompson,Texas,2011,3,PF,36,30.7,8.8,0.546,0.546,0,0.487,13.1,7.96,0.536,0.546,0,0.829,2.8,8.2
Brandon Knight,Kentucky,2011,4,PG,38,35.9,13.5,0.423,0.461,0.377,0.795,17.3,8.91,0.553,0.508,0.45,0.333,3.6,12.8
Kemba Walker,UConn,2011,5,PG,111,32.9,12.2,0.428,0.469,0.326,0.783,16.1,9.39,0.539,0.475,0.287,0.474,11.5,12.1
Jimmer Fredette,BYU,2011,6,PG,139,29.6,13.3,0.455,0.497,0.394,0.882,18.7,3.56,0.596,0.535,0.408,0.386,16.8,7.6
Klay Thompson,Washington State,2011,7,SG,98,34.4,14.4,0.424,0.45,0.39,0.827,17.9,6.32,0.55,0.509,0.438,0.27,7.9,12.5
Alec Burks,Colorado,2011,8,SG,68,30.9,12.6,0.495,0.533,0.313,0.804,19,6.65,0.592,0.522,0.175,0.579,9.2,7.2
Markieff Morris,Kansas,2011,9,PF,109,19.3,5.7,0.553,0.579,0.404,0.653,8.5,7.92,0.603,0.583,0.152,0.504,5.5,7.4
Marcus Morris,Kansas,2011,10,PF,109,24,8.4,0.555,0.585,0.358,0.66,12.6,7.92,0.601,0.579,0.134,0.514,9.4,2.4
Kawhi Leonard,San Diego State,2011,11,SF,70,31.9,12,0.449,0.497,0.25,0.744,14.1,5.29,0.513,0.473,0.195,0.312,6.1,7.9
Nikola Vucevic,USC,2011,12,C,87,27.7,8.3,0.509,0.551,0.303,0.746,11.1,7.86,0.571,0.535,0.169,0.355,6.5,5.5
Iman Shumpert,Georgia Tech,2011,13,PG,92,31.3,10.6,0.396,0.45,0.305,0.738,12.7,7.34,0.503,0.453,0.373,0.39,4.1,9.5
Chris Singleton,Florida State,2011,14,SF,95,29.1,8.4,0.419,0.476,0.33,0.592,10.3,7.05,0.507,0.484,0.393,0.419,2.5,4.6
Tobias Harris,Tennessee,2011,15,SF,34,29.2,11.8,0.46,0.497,0.303,0.753,15.3,8.73,0.54,0.489,0.189,0.423,2.9,5
Nolan Smith,Duke,2011,16,PG,143,26.9,10.4,0.448,0.482,0.368,0.8,13.4,8.97,0.551,0.503,0.303,0.345,11.6,3.8
Kenneth Faried,Morehead State,2011,17,PF,136,29.1,10.1,0.569,0.572,0.25,0.583,14.8,-4.03,0.579,0.57,0.009,0.549,11.8,10.2
Reggie Jackson,Boston College,2011,18,PG,99,28,9.9,0.465,0.527,0.351,0.753,12.7,7.25,0.56,0.527,0.352,0.302,7.9,3.1
MarShon Brooks,Providence,2011,19,SG,113,25.3,11.2,0.464,0.543,0.333,0.739,14.4,7.44,0.559,0.526,0.375,0.318,8.4,12.6
Jordan Hamilton,Texas,2011,20,SF,70,26.2,12.2,0.43,0.475,0.377,0.71,14.5,7.67,0.538,0.516,0.461,0.218,5.5,4.4
JaJuan Johnson,Purdue,2011,21,PF,140,27.5,10.1,0.501,0.512,0.25,0.743,13.7,7.64,0.556,0.506,0.043,0.47,10.3,3.2
Norris Cole,Cleveland State,2011,22,PG,140,29.4,11.1,0.435,0.48,0.321,0.826,14.1,1.92,0.539,0.48,0.278,0.377,10.5,6.8
Cory Joseph,Texas,2011,23,PG,36,32.4,8.9,0.422,0.429,0.413,0.699,10.4,7.96,0.526,0.503,0.391,0.227,2.2,2
Jimmy Butler,Marquette,2011,24,SG,106,29.6,7.2,0.508,0.525,0.383,0.773,12,8.21,0.607,0.531,0.122,0.776,11.2,2.6
Anthony Davis,Kentucky,2012,1,PF,40,32,8.4,0.623,0.653,0.15,0.709,14.2,7.93,0.654,0.628,0.059,0.602,5.9,13.5
Michael Kidd-Gilchrist,Kentucky,2012,2,SF,40,31.1,8.2,0.491,0.535,0.255,0.745,11.9,7.93,0.57,0.511,0.156,0.589,3.4,9
Bradley Beal,Florida,2012,3,SG,37,34.2,10.6,0.445,0.541,0.339,0.769,14.8,7.33,0.575,0.525,0.473,0.44,3.6,13.9
Dion Waiters,Syracuse,2012,4,SG,71,20.4,7.7,0.453,0.513,0.348,0.753,9.7,8.4,0.551,0.516,0.362,0.303,4.4,14.7
Thomas Robinson,Kansas,2012,5,PF,105,18.7,7.2,0.525,0.525,0.5,0.606,9.8,8.6,0.55,0.529,0.019,0.502,5.1,4.8
Damian Lillard,Weber State,2012,6,PG,104,32.3,12.6,0.446,0.497,0.39,0.867,18.6,-2.21,0.606,0.54,0.481,0.458,14.2,19
