Player,School,Year,Pick,TRB,AST,STL,BLK,PTS,SOS,TS%,3PAr,FTr,All-Star
Steve Francis,Maryland,1999,2,4.5,4.5,2.8,0.2,17,9.1,0.62,0.296,0.401,1
Baron Davis,UCLA,1999,3,3.8,5.1,2.5,0.4,13.6,9.93,0.574,0.315,0.469,1
Lamar Odom,Rhode Island,1999,4,9.4,3.8,0.8,1.5,17.6,5.58,0.556,0.238,0.432,0
Wally Szczerbiak,Miami (OH),1999,5,6.3,2.2,0.8,0.8,17.6,1.97,0.621,0.361,0.284,1
Richard Hamilton,UConn,1999,6,4.5,2.6,1.3,0.3,19.8,8.27,0.547,0.387,0.311,1
Andre Miller,Utah,1999,7,4.8,5.4,1.9,0.5,12.1,5.01,0.571,0.172,0.496,0
Shawn Marion,UNLV,1999,8,9.3,1.2,2.5,1.9,18.7,4.52,0.577,0.16,0.266,1
Jason Terry,Arizona,1999,9,2.3,3.8,1.9,0.1,11.3,9.02,0.57,0.465,0.336,0
Trajan Langdon,Duke,1999,10,2.9,1.9,0.9,0.2,14.5,10.15,0.62,0.581,0.325,0
Kenyon Martin,Cincinnati,2000,1,7.5,1.2,1.1,2.5,11,6.65,0.592,0.01,0.494,1
Stromile Swift,LSU,2000,2,7,0.7,1.3,2.6,13.4,5.84,0.585,0.073,0.566,0
Marcus Fizer,Iowa State,2000,3,7.4,1,0.9,0.9,18.9,6.27,0.558,0.053,0.453,0
Mike Miller,Florida,2000,4,6,2.3,1.2,0.3,13.3,7.07,0.586,0.376,0.473,0
DerMarr Johnson,Cincinnati,2000,5,3.8,1.4,1,0.9,12.6,8.5,0.594,0.478,0.324,0
Chris Mihm,Texas,2000,6,9.8,0.6,0.4,2.8,14.6,7.62,0.548,0.03,0.581,0
Jamal Crawford,Michigan,2000,7,2.8,4.5,1.1,0.9,16.6,9.27,0.507,0.396,0.2,0
Joel Przybilla,Minnesota,2000,8,6.9,1.9,0.7,3.4,9.9,9.77,0.583,0,0.479,0
Keyon Dooling,Missouri,2000,9,2.4,3.4,1.3,0.5,12.1,6.05,0.531,0.365,0.51,0
Jerome Moiso,UCLA,2000,10,6.8,1.1,1,1.3,12,9.47,0.521,0.036,0.362,0
Jason Richardson,Michigan State,2001,1,5,1.4,0.8,0.5,9.6,9.73,0.573,0.287,0.285,0
Shane Battier,Duke,2001,2,6.1,1.6,1.8,1.7,13.6,10.08,0.632,0.454,0.431,0
Eddie Griffin,Seton Hall,2001,3,10.8,1.6,0.9,4.4,17.8,6.03,0.501,0.267,0.227,0
Rodney White,Charlotte,2001,4,6.5,1.5,1.2,0.7,18.7,7.91,0.566,0.246,0.415,0
Joe Johnson,Arkansas,2001,5,6.1,2.4,1.7,0.5,15,6.96,0.545,0.239,0.262,1
Richard Jefferson,Arizona,2001,6,5,2.8,0.6,0.8,11.2,10.19,0.572,0.238,0.436,0
Troy Murphy,Notre Dame,2001,7,9.8,1.7,1.2,1.3,21.4,6.35,0.582,0.139,0.551,0
Steven Hunter,DePaul,2001,8,4.7,0.4,0.2,2,9.9,7.92,0.594,0.005,0.465,0
Kirk Haston,Indiana,2001,9,7.8,1.2,0.8,1.1,14.6,10.88,0.523,0.062,0.354,0
Michael Bradley,Villanova,2001,10,5.4,1.3,0.6,1,10.9,8.74,0.662,0.052,0.548,0
Jay Williams,Duke,2002,1,3.7,6,2.2,0.1,19.3,10,0.572,0.506,0.322,0
Mike Dunleavy,Duke,2002,2,5.8,2.2,1.6,0.5,13.2,10,0.58,0.46,0.265,0
Drew Gooden,Kansas,2002,3,9.2,1.6,1.1,1.1,15.6,9.39,0.537,0.051,0.379,0
Dajuan Wagner,Memphis,2002,4,2.5,3.6,1.2,0.6,21.2,4.72,0.504,0.321,0.355,0
Chris Wilcox,Maryland,2002,5,4.7,1,0.5,1,7.9,10.19,0.536,0.005,0.418,0
Caron Butler,UConn,2002,6,7.6,3,2.1,0.3,18,6.43,0.544,0.139,0.426,1
Jared Jeffries,Indiana,2002,7,7.2,2.2,1.2,1.3,14.4,11.56,0.515,0.153,0.521,0
Melvin Ely,Fresno State,2002,8,7.5,1.1,0.8,2.9,15.7,4.4,0.595,0.002,0.42,0
Marcus Haislip,Tennessee,2002,9,3.4,0.5,0.3,1.3,8.4,9.77,0.596,0.196,0.422,0
Fred Jones,Oregon,2002,10,5,2.9,1.2,0.6,13.2,8.05,0.595,0.378,0.42,0
Carmelo Anthony,Syracuse,2003,1,10,2.2,1.6,0.9,22.2,9.02,0.537,0.271,0.389,1
Chris Bosh,Georgia Tech,2003,2,9,1.2,1,2.2,15.6,7.94,0.634,0.153,0.58,1
Dwyane Wade,Marquette,2003,3,6.5,3.9,2.3,1.2,19.7,6.03,0.557,0.1,0.421,1
Chris Kaman,Central Michigan,2003,4,8.5,0.8,0.5,2.2,15.1,1.05,0.643,0,0.685,1
Kirk Hinrich,Kansas,2003,5,3.8,4.7,1.5,0.4,12.4,9.68,0.616,0.438,0.298,0
T.J. Ford,Texas,2003,6,3.8,8,2.1,0.1,12.9,9.63,0.5,0.145,0.478,0
Mike Sweetney,Georgetown,2003,7,9.2,1.8,1.1,1.9,18.2,4.02,0.597,0.004,0.658,0
Jarvis Hayes,Georgia,2003,8,5,1.5,1.3,0.5,18,5.2,0.546,0.339,0.209,0
Nick Collison,Kansas,2003,9,8,1.8,1.1,1.7,14.8,9.68,0.583,0.042,0.376,0
Marcus Banks,UNLV,2003,10,3.3,4.3,2.5,0.2,18.1,4.77,0.585,0.256,0.555,0
Emeka Okafor,UConn,2004,1,10.6,0.8,0.9,4.3,13.8,7.61,0.591,0,0.449,0
Ben Gordon,UConn,2004,2,3.9,4.1,1.2,0.2,16.9,7.61,0.574,0.433,0.346,0
Devin Harris,Wisconsin,2004,3,4.1,3.1,1.7,0.4,14.8,7.74,0.593,0.509,0.474,1
Josh Childress,Stanford,2004,4,6.8,1.8,0.9,1.1,12.3,7.25,0.532,0.352,0.278,0
Luol Deng,Duke,2004,5,6.9,1.8,1.3,1.1,15.1,10.86,0.551,0.252,0.313,1
Rafael Araujo,BYU,2004,6,9.5,1.2,1.4,0.6,15.1,5.79,0.601,0.063,0.43,0
Andre Iguodala,Arizona,2004,7,6.6,3.4,1.5,0.5,9.6,7.79,0.511,0.242,0.427,1
Luke Jackson,Oregon,2004,8,5.9,3.4,1.3,0.3,15.6,6.96,0.586,0.31,0.426,1
Kris Humphries,Minnesota,2004,9,10.1,0.7,0.9,1.1,21.7,5.36,0.518,0.1,0.46,0
Kirk Snyder,Nevada,2004,10,6.4,2.7,0.9,0.8,16.7,3.25,0.516,0.305,0.454,0
Andrew Bogut,Utah,2005,1,11.1,2.3,0.7,1.6,16.6,4.53,0.629,0.048,0.429,0
Marvin Williams,UNC,2005,2,6.6,0.7,1.1,0.5,11.3,10.66,0.627,0.178,0.66,0
Deron Williams,Illinois,2005,3,3.3,5.9,1.1,0.2,11,7.44,0.529,0.46,0.228,1
Chris Paul,Wake Forest,2005,4,3.9,6.3,2.5,0.2,15,10.65,0.622,0.311,0.62,1
Raymond Felton,UNC,2005,5,4.1,6.9,1.9,0.3,12.5,11,0.55,0.474,0.361,0
Charlie Villanueva,UConn,2005,6,6.7,1,0.4,1.7,11.2,7.7,0.568,0.116,0.389,0
Channing Frye,Arizona,2005,7,7.3,1.3,0.6,1.9,13.5,9.02,0.601,0.018,0.387,0
Ike Diogu,Arizona State,2005,8,8.8,1.2,0.4,1.7,21.4,6.66,0.655,0.098,0.791,0
Sean May,UNC,2005,9,10,1.5,1.3,1.2,15.8,11,0.562,0.013,0.532,0
Rashad McCants,UNC,2005,10,4.1,2.1,1.5,0.6,17.6,11,0.597,0.422,0.298,0
Greg Oden,Ohio State,2007,1,9.6,0.7,0.6,3.3,15.7,9.03,0.626,0,0.638,0
Kevin Durant,Texas,2007,2,11.1,1.3,1.9,1.9,25.8,6.12,0.587,0.314,0.396,1
Al Horford,Florida,2007,3,7.9,1.7,0.9,1.7,10.3,6.65,0.601,0.006,0.613,1
