Player,School,Year,Pick,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Harold Miner,USC,1992,12,87,30,35.3,7.9,17.5,0.453,5.9,12,0.492,2,5.5,0.367,5.6,6.9,0.814,,,5.4,1.8,1.1,0.2,1.9,2,23.5,6.19,,0.565,0.51,0.314,0.394,,,,,,,,8.5,,,,,,,,
Bryant Stith,Virginia,1992,13,131,128,33.5,6.5,13.5,0.483,5.7,11.1,0.511,0.9,2.5,0.353,5.3,6.7,0.789,,,6.6,1.6,1.4,0.4,2.1,2.4,19.2,9.93,,0.575,0.515,0.182,0.493,,,,,,,,11.3,,,,,,,,
Malik Sealy,St. John's (NY),1992,14,127,34,38.1,7.1,14.4,0.494,6.8,13,0.518,0.3,1.3,0.247,4.4,6.2,0.712,,,6.9,1.8,1.9,0.9,2.3,2.7,18.9,8.55,,0.547,0.505,0.091,0.431,,,,,,,,11.7,,,,,,,,
Chris Webber,Michigan,1993,1,70,34,31.9,7.3,12.4,0.589,6.7,10.5,0.641,0.6,1.9,0.306,2.2,4.2,0.53,,,10,2.4,1.5,2.5,2.9,2.9,17.4,12.07,,0.605,0.613,0.155,0.342,,,,,,,,16.6,,,,,,,,
Shawn Bradley,BYU,1993,2,34,34,28.9,5.5,10.6,0.518,5.5,10.6,0.517,0,0,1,3.8,5.4,0.692,,,7.7,1.2,0.7,5.2,2.3,3.2,14.8,5.36,,0.56,0.519,0.003,0.512,,,,,,,,14.6,,,,,,,,
Anfernee Hardaway,Memphis,1993,3,66,,36.7,6.9,15.2,0.456,4.8,9,0.531,2.2,6.2,0.346,4,5.5,0.717,,,7.7,5.9,2.5,1.3,3.5,2.7,20,9.15,,0.56,0.526,0.408,0.362,,,,,,,,16.6,,,,,,,,
Jamal Mashburn,Kentucky,1993,4,98,64,30.2,6.9,13.3,0.516,5.4,9.3,0.577,1.5,4,0.376,3.5,5.1,0.697,,,7.8,2.2,1.6,0.5,2.5,3.1,18.8,9.62,,0.598,0.573,0.301,0.379,,,,13.7,9.8,,1.8,13.6,25.4,,,,,,,
Isaiah Rider,UNLV,1993,5,55,,34.8,8.9,17.6,0.504,6.4,11.4,0.56,2.5,6.2,0.401,4.7,5.9,0.805,,,7.1,2.9,1.5,0.6,0,0,24.9,3.39,,0.612,0.574,0.35,0.334,,,,,,,,,,,,,,,,
Calbert Cheaney,Indiana,1993,6,132,130,31.3,7.7,13.8,0.559,6.6,11.2,0.587,1.1,2.6,0.438,3.3,4.1,0.79,,,5.4,1.7,0.9,0.3,2.1,2.5,19.8,10.64,,0.629,0.6,0.186,0.298,,,,9.6,9.7,,0.6,11.8,27.3,,,,,,,
Bobby Hurley,Duke,1993,7,140,139,34.3,3.7,8.9,0.41,1.8,4.3,0.415,1.9,4.7,0.405,3.2,4.1,0.776,,,2.2,7.7,1.4,0,3.8,2.3,12.4,10.09,,0.569,0.515,0.521,0.454,,,,3.5,34.9,,0.1,26,19.8,,,,,,,
